# Force coefficients
# dragDir           : (9.902680813243e-01 1.391730114294e-01 0.000000000000e+00)
# sideDir           : (0.000000000000e+00 0.000000000000e+00 -1.000000000000e+00)
# liftDir           : (-1.391730114294e-01 9.902680813243e-01 0.000000000000e+00)
# rollAxis          : (9.902680813243e-01 1.391730114294e-01 0.000000000000e+00)
# pitchAxis         : (0.000000000000e+00 0.000000000000e+00 -1.000000000000e+00)
# yawAxis           : (-1.391730114294e-01 9.902680813243e-01 0.000000000000e+00)
# magUInf           : 6.000000000000e+01
# lRef              : 1.000000000000e+00
# Aref              : 1.000000000000e+00
# CofR              : (0.000000000000e+00 0.000000000000e+00 5.000000000000e-01)
#
# Time              	Cd                  	Cs                  	Cl                  	CmRoll              	CmPitch             	CmYaw               	Cd(f)               	Cd(r)               	Cs(f)               	Cs(r)               	Cl(f)               	Cl(r)               
0.131489            	1.054350731291e-02	-1.653242979535e-17	7.221947132249e-01	1.792070828664e-17	-1.525934171714e-01	-7.816908376349e-18	5.271753656454e-03	5.271753656454e-03	-1.608312327402e-17	-4.493065213245e-19	2.085039394410e-01	5.136907737839e-01
0.131787            	1.043101355513e-02	7.453248854224e-17	7.196068325738e-01	-7.432148088755e-17	-1.520294113295e-01	3.129895387300e-17	5.215506777563e-03	5.215506777563e-03	6.856519814412e-17	5.967290398127e-18	2.077740049574e-01	5.118328276164e-01
0.132086            	1.125471246182e-02	-1.061419774640e-16	7.182035247742e-01	6.534296477159e-18	-1.521012630515e-01	-4.583916403382e-17	5.627356230911e-03	5.627356230911e-03	-9.891015276584e-17	-7.231824698197e-18	2.070004993357e-01	5.112030254386e-01
0.132386            	1.030133345508e-02	-1.470563347422e-17	7.143499925635e-01	1.480693393189e-17	-1.508197288742e-01	-6.210517501796e-18	5.150666727541e-03	5.150666727541e-03	-1.356333423890e-17	-1.142299235313e-18	2.063552674076e-01	5.079947251559e-01
0.132686            	1.025870019155e-02	6.859146073661e-17	7.119957905464e-01	-7.609954553682e-17	-1.503697889747e-01	2.995630798102e-17	5.129350095776e-03	5.129350095776e-03	6.425203834933e-17	4.339422387282e-18	2.056281062985e-01	5.063676842479e-01
0.132988            	1.011515765701e-02	-1.030322530787e-16	7.094083924126e-01	-2.612199929127e-19	-1.498071672110e-01	-4.681763079494e-17	5.057578828506e-03	5.057578828506e-03	-9.833375733427e-17	-4.698495744389e-18	2.048970289953e-01	5.045113634173e-01
0.13329             	1.006133507837e-02	-1.931254270778e-17	7.069000809720e-01	1.673690410965e-17	-1.492801535550e-01	-1.082319585739e-17	5.030667539187e-03	5.030667539187e-03	-2.047946721127e-17	1.166924503500e-18	2.041698869311e-01	5.027301940410e-01
0.133593            	9.899852405507e-03	-1.205265404898e-17	7.042920836583e-01	1.201821893699e-17	-1.487079089929e-01	-4.817134499145e-18	4.949926202753e-03	4.949926202753e-03	-1.084346152363e-17	-1.209192525344e-18	2.034381328363e-01	5.008539508221e-01
0.133897            	9.795242947512e-03	7.034830443374e-17	7.017237393486e-01	-6.995355015870e-17	-1.481489083059e-01	3.331293200619e-17	4.897621473756e-03	4.897621473756e-03	6.848708422306e-17	1.861220210676e-18	2.027129613684e-01	4.990107779802e-01
0.134202            	9.908377813327e-03	-1.033384627126e-16	7.001329759517e-01	1.121326342672e-17	-1.481069531210e-01	-4.597206316059e-17	4.954188906663e-03	4.954188906663e-03	-9.764129451691e-17	-5.697168195732e-18	2.019595348548e-01	4.981734410969e-01
0.134508            	9.710170706956e-03	6.689033997543e-17	6.972818235327e-01	-7.064057968523e-17	-1.473867747762e-01	3.098321558184e-17	4.855085353478e-03	4.855085353478e-03	6.442838556955e-17	2.461954405871e-18	2.012541369901e-01	4.960276865425e-01
0.134815            	9.472565145026e-03	-1.061576724430e-16	6.940003415095e-01	1.069541432153e-17	-1.464819196854e-01	-4.618303280527e-17	4.736282572513e-03	4.736282572513e-03	-9.926186902675e-17	-6.895803416203e-18	2.005182510693e-01	4.934820904401e-01
0.135123            	9.609991595546e-03	-1.541547039565e-17	6.926570297532e-01	1.839446641036e-17	-1.465532900711e-01	-8.940505780360e-18	4.804995797773e-03	4.804995797773e-03	-1.664824097819e-17	1.232770582535e-18	1.997752248055e-01	4.928818049477e-01
0.135431            	9.274417669673e-03	-1.519151949105e-17	6.888488607722e-01	1.227751962400e-17	-1.453766433361e-01	-9.592294226757e-18	4.637208834837e-03	4.637208834837e-03	-1.718805397228e-17	1.996534481233e-18	1.990477870500e-01	4.898010737222e-01
0.135741            	9.375613575656e-03	-1.101560294863e-17	6.874145590569e-01	1.411563995662e-17	-1.453851757918e-01	-2.958536187332e-18	4.687806787828e-03	4.687806787828e-03	-8.466337661648e-18	-2.549265286985e-18	1.983221037367e-01	4.890924553203e-01
0.136052            	9.074564987513e-03	-1.652666966998e-17	6.837508311668e-01	1.877845536805e-17	-1.442970527385e-01	-7.642293416362e-18	4.537282493757e-03	4.537282493756e-03	-1.590562825135e-17	-6.210414186273e-19	1.975783628449e-01	4.861724683219e-01
0.136363            	8.637485894419e-03	-1.664551150787e-17	6.792270528751e-01	1.873902548981e-17	-1.428236964126e-01	-6.577787278203e-18	4.318742947210e-03	4.318742947210e-03	-1.490054303214e-17	-1.744968475730e-18	1.967898300250e-01	4.824372228502e-01
0.136676            	8.863918625321e-03	-1.512150702469e-17	6.784980804843e-01	1.123593514389e-17	-1.431802373367e-01	-8.937654862916e-18	4.431959312661e-03	4.431959312661e-03	-1.649840837526e-17	1.376901350570e-18	1.960688029054e-01	4.824292775788e-01
0.136989            	8.961836044335e-03	-1.361652798001e-17	6.771106759741e-01	1.786046603746e-17	-1.432188145281e-01	-1.946884348718e-18	4.480918022168e-03	4.480918022168e-03	-8.755148338722e-18	-4.861379641287e-18	1.953365234590e-01	4.817741525151e-01
0.137304            	8.832672764296e-03	-1.554867311767e-17	6.741323365906e-01	1.630052605506e-17	-1.425019709781e-01	-8.551546128428e-18	4.416336382148e-03	4.416336382148e-03	-1.632588268727e-17	7.772095695912e-19	1.945641973172e-01	4.795681392734e-01
0.13762             	8.585910663551e-03	-1.594391025450e-17	6.716326606752e-01	1.263606427597e-17	-1.419706795044e-01	-1.091197754287e-17	4.292955331775e-03	4.292955331775e-03	-1.888393267013e-17	2.940022415623e-18	1.938456508331e-01	4.777870098420e-01
0.137937            	8.551706944604e-03	7.205221278335e-17	6.681455485388e-01	-6.547838452588e-17	-1.409844183087e-01	3.304385369056e-17	4.275853472302e-03	4.275853472302e-03	6.906996008224e-17	2.982252701114e-18	1.930883559607e-01	4.750571925781e-01
0.138254            	8.502895940424e-03	-9.938005648480e-17	6.656260252907e-01	4.641297708017e-18	-1.404713321140e-01	-4.271031002049e-17	4.251447970212e-03	4.251447970212e-03	-9.240033826289e-17	-6.979718221907e-18	1.923416805314e-01	4.732843447593e-01
